batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
543,14,9,59,7,1,6181550.359999999,76451.29482,7424011.8,89022.93874
1174,7,12,21,3,2,47787.94,660.0694,277666.48,2036.4290999999998
740,9,1,19,8,3,87349.62000000001,996.26266,105523.31999999999,805.1327200000001
261,15,5,20,3,3,20925.22,256.71866,46154.62,374.1556
1915,8,14,30,5,2,907278.0599999999,7099.741399999999,1339812.2200000002,10319.47412
1963,15,11,36,4,3,1981352.3399999999,15329.877059999999,2489860.6,18185.804760000003
685,7,12,36,8,1,1462218.04,13221.513420000003,2140389.98,22848.639600000002
395,8,3,31,8,1,480828.88,4621.835239999999,345406.8400000001,3470.8779999999997
1607,10,3,47,3,1,4500036.08,43386.75404,4794189.380000001,40280.396440000004
669,10,1,59,8,3,1850626.4,16836.47536,1486152.12,14842.653660000002
1855,9,8,55,7,1,14910717.479999999,164976.16549999997,12610560.92,143084.53828
329,7,7,41,3,2,55881.219999999994,561.8137399999999,179051.0,1234.9593200000002
1463,9,13,25,3,1,1325699.68,12174.691339999998,2247428.46,21394.023559999998
1849,14,13,11,8,3,72808.65999999999,985.6200000000001,196819.58000000002,1255.1751
1853,13,4,24,8,1,2544623.74,26396.149320000004,1783214.3400000003,18984.007319999997
828,10,12,43,4,2,1193725.02,9996.378200000001,1649043.5799999998,14028.945600000001
1717,6,12,63,5,1,7037088.9,63654.75568,14733950.4,166966.46017999997
880,10,9,9,4,2,45506.44,689.7790600000001,56207.14,602.88164
1507,1,8,56,7,3,163491.91999999998,1558.3968,1549076.8800000004,14963.3092
1891,2,13,17,7,2,33540.0,596.1429800000001,281778.98000000004,2287.1885599999996
1199,1,5,21,8,3,13793.919999999998,245.89301999999998,85922.72,943.47504
951,9,2,22,5,1,600857.76,6148.85916,515760.36,4995.23442
1600,14,7,38,4,2,1933699.7799999998,14717.847839999999,2291483.4400000004,16591.44862
233,7,6,52,5,3,72699.94,639.1417,197095.54,1321.51256
1850,11,7,55,5,3,3553545.6400000006,31430.577880000004,3472787.72,33422.13544
1314,6,14,43,6,1,3242691.8400000003,26992.843000000004,6259205.22,65180.14708
587,7,13,21,4,1,110832.23999999999,1148.1167799999998,365602.11999999994,2954.54596
566,8,14,46,5,1,1764045.7600000002,15449.55836,2975883.4799999995,29090.949879999993
820,11,9,36,6,3,870075.8599999998,7061.798360000001,1062784.12,8239.76482
411,11,2,57,7,2,1526985.72,13470.43478,1183450.3599999999,11087.57274
1740,15,13,28,5,1,3112542.0799999996,26538.61044,4145421.5199999996,41788.38258
118,4,5,46,4,3,14822.900000000003,194.75953999999996,33310.48,442.7006799999999
1728,8,3,24,8,2,465616.4199999999,3889.0313800000004,467330.45999999996,3581.0839400000004
1159,11,1,49,7,3,2340149.06,18189.767920000002,2093747.08,16533.8093
135,8,4,27,6,3,9894.98,264.25398000000007,22984.56,339.63344000000006
428,12,7,38,6,1,1196474.0,11477.93864,1024003.74,10237.43132
1281,1,13,42,4,3,61180.32000000001,798.544,894641.22,8597.554700000002
222,1,4,13,7,3,8502.179999999998,84.48527999999999,15653.02,249.09420000000006
1164,4,10,38,7,2,385532.36,3159.6926599999997,1126217.7,9889.3527
893,4,8,28,6,3,41248.64,546.8160799999999,154268.44,1179.15378
800,13,8,46,3,2,1283671.0000000002,10426.36906,1603282.0799999998,12243.749639999998
1785,14,11,55,6,1,14170149.339999998,149359.57962,17402310.14,207196.07639999996
1862,12,3,14,5,1,487133.77999999997,4146.9645199999995,451132.83999999997,3250.1473800000003
1635,2,9,56,7,2,972479.22,9219.4372,3743059.1799999997,38885.46188
1495,5,10,22,8,2,191937.96000000002,1647.6671,448446.14,3648.8050800000005
1861,12,13,8,3,3,24481.119999999995,465.29448,48684.02,586.2628
615,8,10,46,7,1,2460818.88,23817.78564,3033561.6399999997,34535.44316
248,14,5,47,6,1,1113390.7,10732.91752,904738.8800000001,9017.5812
1536,14,14,22,5,3,469804.72000000003,4053.728,645358.4,4936.62752
384,7,10,22,4,1,117885.46,1349.55666,204406.25999999998,1687.8576799999998
569,8,3,8,4,2,8508.26,151.15202,21064.420000000002,264.30272
1284,15,8,39,7,3,1763290.1000000003,13635.23806,1755307.92,12574.93074
1932,4,6,39,4,3,167039.4,1583.9306800000002,1153305.1400000001,9046.85104
989,5,4,15,4,3,9379.860000000002,243.333,45368.560000000005,425.95762
430,11,7,31,3,1,397210.83999999997,2997.2473200000004,578691.22,4343.128899999999
823,5,9,31,5,3,45624.88,617.65446,294991.96,1989.96208
1916,4,11,49,3,1,3575248.38,28715.972579999994,8925315.34,83887.01718
1268,3,1,12,7,2,7641.56,202.42428,25592.000000000004,303.84486
