batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
1274,14,40,29,5,3,748738.9600000001,18966.10344,955106.21,24110.985399999998
1835,2,25,30,6,2,374777.45,8744.777279999998,1553777.15,35781.72764
1750,6,32,46,4,2,1029636.0600000002,24913.062019999994,3459807.3800000004,80255.06862
1649,4,39,39,7,1,3797411.55,85523.58885999999,8986161.7,192595.01636000004
611,9,19,35,5,1,1408773.82,31850.308060000003,2283339.5200000005,50518.834279999995
1790,5,41,15,7,3,55994.69,1715.6833599999998,177846.88999999996,4926.138139999999
725,1,1,32,4,2,21501.44,801.8114800000001,96873.52,3151.89138
1536,12,22,48,8,3,2549760.95,62517.35872,3218321.8899999997,73960.78744
1249,1,26,20,7,3,29385.9,966.3589599999999,191402.65999999997,5343.228580000001
400,11,18,22,8,1,410818.65,10078.73998,511121.14,13018.287159999998
223,15,12,13,8,2,21993.32,659.5822000000001,37382.71000000001,1034.32544
1013,14,51,33,6,1,4894011.61,112305.99346,6774918.49,147395.4533
1153,4,9,54,3,1,1297657.8099999998,29435.93136,3892773.8600000003,86460.36134
1261,1,47,54,3,3,539426.7,12815.497300000003,2469942.35,57759.43162
1437,15,48,22,7,2,974450.6199999999,23313.0831,1178453.98,28502.855
502,7,16,35,7,3,90739.56999999999,2637.4739799999998,198407.68,5576.5075799999995
800,11,8,51,6,3,967880.8400000001,27410.393819999998,748724.25,20315.74168
1758,5,23,57,6,3,798171.2,19771.40078,2279123.08,57413.96642
33,11,26,36,4,1,72163.53,2059.6490799999997,110996.43000000001,3273.7458400000005
1132,4,27,14,3,1,104548.09999999999,3159.0826800000004,449335.42000000004,12979.1553
1654,10,24,39,8,2,2785855.31,67415.53326000001,3591876.1199999996,83619.03252000001
1439,5,3,43,7,3,235179.99,6946.5159600000015,472594.62,13170.299060000001
1378,7,58,32,7,3,537469.3899999999,11885.755920000001,1475148.77,35921.330539999995
1615,6,12,31,4,1,835857.2499999999,20654.5155,2022122.4800000004,48553.34822
1139,12,3,38,7,2,1218905.6,34501.64384000001,777897.8,20931.25546
540,9,11,45,8,1,3207047.4899999998,80010.06989999999,3525804.5099999993,87979.12896
1971,8,32,24,8,3,397952.47000000003,11045.408060000002,564888.6500000001,15221.633279999998
1728,6,44,47,5,3,922019.6599999998,22515.040759999996,2587729.59,62904.105039999995
1803,10,35,21,8,1,3352443.82,89894.52026,3532470.79,95189.88814000001
236,12,40,28,5,1,513598.59,11896.36392,850824.75,19734.125859999996
1787,9,56,27,3,2,1146889.79,27749.658880000003,2272965.9299999997,53518.80784
1119,13,32,30,6,3,601799.6199999999,15277.89688,802909.9400000001,19873.06342
483,14,32,15,4,1,132788.38999999998,3899.3631,279214.99999999994,7902.01104
1853,8,45,61,8,3,4529659.99,110377.96195999999,6055333.67,131984.8116
390,1,45,28,5,2,56506.829999999994,1756.2834000000003,260241.03999999998,7140.10388
910,6,42,11,8,1,75722.47,2333.5974799999995,134136.63999999998,3940.0114399999998
1108,14,3,53,4,3,1172792.3699999999,28788.369880000002,1138086.7000000002,25777.21354
2009,3,29,63,4,3,940150.8099999999,23541.57726,2716517.72,65165.3018
63,13,7,37,6,3,42846.5,1261.44768,40927.65000000001,1168.26136
152,12,1,9,6,2,20572.44,664.1310799999999,25191.620000000003,795.482
