batch_size,k_side_length,stride,in_chan,im_side_length,for_energy,for_time,back_energy,back_time
153,3,1,23,90,5052936.25,120067.09837999998,0.0,0.0
1221,6,2,22,79,17469877.740000002,389679.55707999994,0.0,0.0
1173,9,3,7,70,2932413.75,72987.13042000002,0.0,0.0
1075,7,3,8,83,3355502.25,80637.01146000001,0.0,0.0
1697,6,3,8,91,-2615614849.41,145359.55498,0.0,0.0
1280,6,3,4,91,2117022.18,54636.22792,0.0,0.0
330,7,3,13,60,815362.9399999998,19930.47082,0.0,0.0
313,5,3,16,57,682373.1900000001,17251.87424,0.0,0.0
1307,4,3,9,95,3520141.13,81252.30572000002,0.0,0.0
365,5,3,19,90,2229301.59,52236.770580000004,0.0,0.0
997,9,1,30,96,182474130.03,3706924.3019199995,0.0,0.0
85,6,2,7,77,456937.93,13006.02666,0.0,0.0
1593,7,3,29,50,6278025.85,149577.43912,0.0,0.0
2040,8,2,6,68,8417448.459999999,237741.55724,0.0,0.0
1624,5,1,21,94,101891998.05,2083452.4850600003,0.0,0.0
342,4,1,20,93,14519132.190000001,356263.7852,0.0,0.0
422,3,3,11,59,398939.4,9614.945579999998,0.0,0.0
241,8,3,27,57,1407740.4999999998,35081.1921,0.0,0.0
2009,9,3,7,56,3183456.18,99401.46872,0.0,0.0
1087,4,3,31,89,8693039.809999999,185164.89542000002,0.0,0.0
1395,9,3,13,77,7960120.67,194211.92126,0.0,0.0
698,8,1,31,50,27089308.04000001,632906.17826,0.0,0.0
1528,5,1,12,59,19992544.0,487408.60366,0.0,0.0
1020,6,1,7,91,23965704.599999998,582624.4088999999,0.0,0.0
269,7,3,13,98,1928228.7600000002,44913.30986,0.0,0.0
1590,8,1,20,79,110664070.91,2248142.36548,0.0,0.0
359,7,2,19,63,3351294.45,80100.67922,0.0,0.0
969,8,1,22,98,119078848.05999999,2431413.99054,0.0,0.0
1362,9,2,18,61,14430746.070000002,340363.72592,0.0,0.0
535,4,3,23,64,1577528.33,36969.02154,0.0,0.0
126,6,1,23,71,6065566.18,162307.80334000004,0.0,0.0
1494,9,3,17,88,15295682.279999997,338988.399,0.0,0.0
1658,2,1,23,83,30745044.610000003,679087.94058,0.0,0.0
1550,4,1,8,62,11175266.86,305671.95410000003,0.0,0.0
1987,3,1,18,71,30889839.079999994,677436.0850799999,0.0,0.0
1033,6,3,27,74,7437108.69,161430.53375999996,0.0,0.0
1503,6,1,12,91,62531672.85,1328187.92236,0.0,0.0
1203,6,1,24,51,28778822.209999997,637384.7449200001,0.0,0.0
1537,3,2,19,80,9385823.79,211456.27031999998,0.0,0.0
1709,9,2,11,52,7762290.930000002,228820.95893999998,0.0,0.0
742,6,1,30,90,75126244.52,1556779.3574199998,0.0,0.0
2006,2,2,6,90,3651194.909999999,84639.03390000001,0.0,0.0
1565,7,1,15,96,107511936.71,2217305.28422,0.0,0.0
1959,7,3,14,85,11797124.889999997,268956.10815999995,0.0,0.0
2013,9,2,12,69,18462643.78,432525.1881399999,0.0,0.0
1711,3,3,14,85,4387298.36,97020.58015999998,0.0,0.0
471,3,2,30,61,2663206.13,61498.524639999996,0.0,0.0
1888,7,3,24,96,24284204.82,520024.44762000005,0.0,0.0
1459,4,2,10,82,6781894.260000001,166928.65237999996,0.0,0.0
1215,7,1,27,75,87864165.33999999,1805757.9308399998,0.0,0.0
61,3,3,15,69,129233.65000000002,3175.18322,0.0,0.0
622,3,1,27,77,17064147.619999997,407841.71608,0.0,0.0
951,4,1,17,82,25783589.39,586901.9437999999,0.0,0.0
863,6,2,10,72,4886872.26,121282.27318000002,0.0,0.0
93,7,3,20,84,934916.47,24149.085180000002,0.0,0.0
1855,6,1,23,61,63487761.65,1333824.52182,0.0,0.0
1353,5,1,13,71,29131811.96999999,663654.6361799998,0.0,0.0
667,3,2,7,90,1930967.9899999998,46122.640980000004,0.0,0.0
1609,2,3,25,51,1918459.4099999997,41729.06142,0.0,0.0
1899,9,1,18,68,98216565.59,2036061.47214,0.0,0.0
1357,3,3,22,77,4493341.16,104899.56853999998,0.0,0.0
1159,4,2,4,70,1503981.0899999999,45672.502779999995,0.0,0.0
43,6,1,9,66,728988.02,20826.0973,0.0,0.0
985,4,2,8,90,4529679.65,109138.62856000001,0.0,0.0
184,9,3,24,52,907339.6199999999,24007.72686,0.0,0.0
1938,4,1,26,92,102499650.39,2081088.3649800003,0.0,0.0
744,5,1,31,64,30627299.53,692827.34176,0.0,0.0
1623,7,2,7,82,9615850.059999999,241771.47096,0.0,0.0
1022,7,3,20,96,10878199.67,245330.8574,0.0,0.0
720,3,3,4,55,231245.14000000004,7003.2444000000005,0.0,0.0
75,7,1,30,63,4424699.92,139442.06952000002,0.0,0.0
976,3,2,28,60,4834447.39,118086.82801999999,0.0,0.0
1997,3,3,16,81,5346195.45,125421.82635999999,0.0,0.0
189,2,2,12,69,420843.1,10676.96066,0.0,0.0
1823,7,3,9,52,2570039.17,79140.01768,0.0,0.0
1903,9,1,25,55,84226350.58,1746576.66136,0.0,0.0
338,3,2,4,97,677336.4,16764.862520000002,0.0,0.0
2030,2,3,22,80,5285095.14,118275.53266,0.0,0.0
1655,2,3,4,70,634917.18,21886.78136,0.0,0.0
1538,4,2,11,67,5107292.82,138024.00014,0.0,0.0
465,9,2,5,53,992681.79,29706.0711,0.0,0.0
613,6,2,9,56,1769844.1199999999,52569.3117,0.0,0.0
681,5,2,22,95,11982509.639999999,266484.42982,0.0,0.0
1877,8,1,19,92,172185464.4,3498407.9967999994,0.0,0.0
926,4,1,20,59,15338670.45,361792.88597999996,0.0,0.0
547,3,2,18,80,3047425.13,69371.55434,0.0,0.0
1794,7,2,24,91,45837772.589999996,945346.4116400002,0.0,0.0
1268,4,3,12,58,1583631.1300000001,39589.81420000001,0.0,0.0
818,6,1,8,58,8641620.92,242934.84056,0.0,0.0
1021,3,2,27,90,11423844.04,253485.70116,0.0,0.0
1133,3,1,6,54,3801834.1,100521.85412,0.0,0.0
297,6,1,10,90,10548408.13,242361.78858,0.0,0.0
1298,3,2,22,89,11856624.83,264698.28368,0.0,0.0
592,9,2,18,71,9167695.08,222929.67752,0.0,0.0
1810,9,1,20,93,206275918.48,4184757.618320001,0.0,0.0
1890,8,1,28,54,79884859.52,1652493.4004199998,0.0,0.0
1112,5,3,23,51,2561806.17,61327.82628,0.0,0.0
1452,6,3,26,73,9986286.630000003,224121.50276,0.0,0.0
1071,7,2,22,59,9836117.360000001,242667.81844,0.0,0.0
1036,7,3,29,77,10351100.84,228404.41423999998,0.0,0.0
1227,8,2,15,60,9066992.770000001,232376.19168,0.0,0.0
1937,4,3,16,56,3077907.15,74885.41452,0.0,0.0
1161,2,1,4,74,3228066.12,85295.01745999999,0.0,0.0
1493,2,1,18,83,21197487.259999998,480716.74478,0.0,0.0
1956,3,2,24,68,10480908.16,240718.94179999997,0.0,0.0
1919,4,1,30,63,53910352.7,1121186.29494,0.0,0.0
2011,6,2,24,63,19828058.94,428952.53515999997,0.0,0.0
1916,3,2,5,66,2210192.79,64233.66647999999,0.0,0.0
1892,7,3,9,84,6964915.030000001,162250.66722,0.0,0.0
1733,9,2,9,57,7883287.93,231121.37669999996,0.0,0.0
1454,5,3,20,84,8494204.89,194403.44068000003,0.0,0.0
1449,2,3,9,69,1023594.7699999999,22843.93374,0.0,0.0
276,8,2,21,90,6981745.460000001,168206.52236,0.0,0.0
343,8,3,23,79,3139307.2299999995,75701.64736,0.0,0.0
401,5,3,12,64,803862.66,20792.2428,0.0,0.0
374,9,3,7,63,770177.5,23776.37184,0.0,0.0
718,5,2,31,92,16285727.939999998,346753.97342,0.0,0.0
945,3,3,5,86,849151.2799999999,19845.884280000006,0.0,0.0
1736,6,1,20,62,52882344.51,1113878.13138,0.0,0.0
172,6,1,26,75,10526270.09,255245.26347999997,0.0,0.0
329,8,3,14,81,2014847.75,47846.72006,0.0,0.0
1624,5,2,5,78,4760350.910000001,135177.47156000003,0.0,0.0
360,7,3,14,74,1642198.5499999996,39166.12786,0.0,0.0
947,6,3,15,60,2516747.7299999995,61468.48722000001,0.0,0.0
839,9,3,22,62,4722874.89,109341.44432000001,0.0,0.0
1516,4,2,9,97,8485227.93,194124.91172,0.0,0.0
173,8,2,29,76,4228750.779999999,108150.39439999999,0.0,0.0
584,7,3,8,95,2455366.0100000007,57796.30188,0.0,0.0
1058,5,1,14,83,33720342.17,760998.6638999999,0.0,0.0
