batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
510,7,37,17,7,2,90406.31999999999,1104.41774,158889.94,1629.1971600000002
1458,14,28,27,8,2,2254549.88,21409.252,2360030.6600000006,26364.945259999997
1093,6,19,45,8,2,1492472.94,12854.736200000001,2647858.2399999998,26399.38388
1823,12,35,29,4,1,6046781.460000001,57111.77563999999,9211430.299999999,93921.83938
298,15,27,9,8,1,17921.120000000003,349.15094,38358.119999999995,505.23871999999994
47,15,25,13,7,1,31761.4,334.24976,27864.96,480.04328
619,12,61,9,8,3,24733.86,493.5876399999999,48555.740000000005,669.5918999999999
1192,7,49,40,3,2,1599007.08,13300.49872,4054113.16,35392.5587
45,11,33,54,7,1,1080134.08,11603.784440000001,1038973.0600000002,13432.060080000001
254,12,32,30,8,3,246189.6,2115.33252,262310.12,2352.32866
1542,4,36,29,5,3,274312.0,2267.7269000000006,951270.8,7777.41886
1290,11,42,62,5,1,23974345.339999996,300470.8088,41416418.699999996,513157.60725999996
903,10,60,57,6,1,23149962.700000003,287370.39798,34124738.06,440288.26336000004
353,11,11,45,8,2,965253.9,8544.80456,1163593.14,12904.964860000002
201,1,20,9,8,2,5913.08,86.48679999999999,13662.079999999998,256.11942
268,1,13,36,6,3,9074.7,210.95194,86215.72,1076.59632
1177,5,28,8,7,3,3321.5199999999995,169.92856,28221.379999999997,459.92664
903,5,32,44,8,3,680767.3200000001,5721.031820000001,1615265.62,14789.7005
1837,10,27,60,5,3,5822831.74,55194.810780000014,7979038.44,82936.97724
257,8,51,35,7,2,547270.3200000001,4986.01554,653017.2,6316.84926
140,1,58,18,5,2,8930.62,179.02024,47938.079999999994,708.9129
1832,10,2,49,6,2,4368298.180000001,36337.17508,3405082.84,29857.34216
74,6,31,59,7,1,807436.8600000001,7932.85024,1240378.88,13822.365399999999
816,14,19,19,4,1,539383.3200000001,4459.551440000001,832239.04,7781.43876
917,10,5,29,7,2,707704.4400000001,6409.874739999999,612433.76,5458.01088
903,10,41,30,7,3,1116985.74,11033.012560000001,1707660.48,20837.920540000003
548,15,6,55,3,3,1157580.08,9560.67788,1231953.6800000002,10731.063979999999
411,14,36,28,4,2,372069.42000000004,3114.1202600000006,541824.74,4661.200780000001
650,4,22,16,3,3,11899.4,193.49364,34169.840000000004,480.94857999999994
679,11,43,9,5,3,33867.06,418.16648,42463.2,613.8106
1696,4,53,15,8,1,567487.54,5327.79098,1470134.18,15377.8939
1910,11,7,28,6,1,3369872.94,29998.24214,2779354.4400000004,26372.300020000002
1075,2,11,11,8,3,6499.0,188.71922,32162.920000000006,535.4839
773,15,61,14,5,1,683754.3800000001,6308.14364,1038083.2999999998,10162.76542
1409,7,20,33,7,1,3544729.7,32491.81176,5732769.720000001,60463.58924
1436,11,58,42,5,3,3974213.4599999995,40045.52154,5946193.200000001,49800.13444
155,8,60,45,7,1,2457071.2399999998,25966.87244,3120630.56,38881.331340000004
688,3,38,26,6,2,177081.99999999997,1475.6011,348411.0,2733.59342
2024,5,39,36,5,2,1923337.4,16037.82274,4609247.160000001,41374.258879999994
1431,2,41,19,7,1,809082.48,8120.47316,2696349.26,31544.99986
2011,8,18,24,7,3,630698.9800000001,5533.465700000001,784504.8,6336.8804
1720,2,7,23,8,3,32470.659999999996,579.5441599999999,219395.24000000005,1841.9042999999997
1454,6,55,17,6,1,1228211.0,11697.824900000001,2419809.38,24728.378900000003
941,7,45,16,6,1,521752.8,4478.64434,891145.18,8720.244620000001
846,14,56,33,6,1,6461748.62,75653.48712,8987785.84,109170.2193
1999,5,55,21,8,3,399731.62,3147.20568,949237.1,7983.08128
410,3,19,26,5,3,18137.16,271.27964,29434.74,485.2550799999999
345,10,62,33,5,1,2588631.02,27599.434880000004,3795233.2399999998,46644.149300000005
671,15,14,59,3,2,2049886.14,17694.59766,2781308.8000000003,25958.80496
1508,5,37,8,5,1,37130.12,643.3651000000001,128018.35999999999,1206.66132
1096,13,11,60,4,2,3340826.3,31207.022699999994,4645933.000000001,45386.00884
399,4,53,23,5,3,34103.94,494.97364,139617.53999999998,1274.3082399999998
1080,2,11,51,3,2,426715.27999999997,4059.302620000001,1947071.3400000003,17980.87774
608,6,11,31,5,3,42343.59999999999,701.3014599999999,221817.1,1846.27
146,13,27,62,3,1,1572458.1400000001,14489.30426,2722621.28,27998.576599999993
1443,4,38,63,4,2,3134345.0999999996,27591.05894,8704750.680000002,88867.26785999999
1787,9,32,42,6,3,3577886.340000001,30674.875760000003,4364907.04,41721.165859999994
582,1,52,57,7,3,500019.48,5303.6765000000005,2291150.08,24731.2
447,3,46,52,7,2,958012.5999999999,8832.493480000001,1817477.0400000003,17795.45374
1737,3,48,53,5,2,3624750.3200000003,28733.15692,8120633.460000001,72621.76656000002
1178,12,15,40,4,3,1394085.76,11244.506940000001,1827000.9,14060.29538
1040,5,7,59,6,2,780321.4400000001,5836.098480000001,2198763.92,17458.389860000003
2041,8,34,45,6,1,14621014.839999998,164190.79116,21086059.299999997,252260.23292
242,1,13,57,7,2,45527.18000000001,667.79172,530759.16,5055.59236
1278,6,31,38,8,3,810414.2,6540.09658,1750780.4400000002,15519.41582
1399,13,17,25,7,2,1447116.62,13454.338460000003,1373532.88,13587.1692
1757,9,49,16,4,1,1966811.4200000004,18928.28332,2995215.6799999997,32197.088160000003
575,14,35,18,4,3,75506.31999999999,896.3452000000001,171916.12,1119.77212
1120,6,17,59,3,3,764327.9600000001,6075.9384199999995,2710806.02,20478.16636
261,2,39,31,8,2,67729.31999999999,802.2006200000002,351418.76,3356.8853000000004
1413,11,61,34,8,2,6172149.8,68849.70794000001,7074498.4,84800.98299999998
968,10,38,55,4,1,11229794.239999998,123658.44499999999,17172250.979999997,203353.22446
2018,1,48,56,8,3,1725793.98,16479.765819999997,8030633.779999999,86590.94996
57,2,8,29,7,3,10269.740000000002,102.15506,17537.82,303.96346000000005
158,5,28,48,8,3,94940.06,1101.61162,285350.74000000005,2286.12048
194,2,21,26,5,1,32234.999999999993,539.7108599999999,299117.93999999994,2448.5788399999997
578,13,36,13,6,2,90671.08,1101.39124,138709.34,1194.38158
980,5,32,44,7,3,642995.18,5554.49116,1736595.9,15697.130579999997
1067,14,44,33,5,2,2434510.2800000003,21633.02904,3266565.06,32266.25562
