batch_size,in_size,out_size,for_energy,for_time,back_energy,back_time
659,433,414,26691.9,472.45785999999987,87453.31999999999,951.13472
1980,273,388,50898.34000000001,1024.90266,197726.51999999996,1344.0729399999998
1842,211,466,39692.27999999999,743.8855800000001,162329.89999999997,1154.2750999999998
1444,221,117,12042.2,289.88685999999996,36711.26,481.07932
837,449,222,24307.8,447.35314,89205.04,727.5276000000001
1985,146,422,20799.54,496.37929999999994,114355.20000000003,857.24292
1052,384,67,8034.640000000001,172.73989999999998,30861.74,317.87566000000004
613,183,511,15391.86,270.17354,36445.18000000001,491.3999400000001
708,203,435,14974.34,284.14882,41049.740000000005,510.0688400000001
1723,31,252,5012.219999999999,135.40890000000002,16234.1,351.78674
346,292,299,15130.579999999998,151.45646,20861.780000000002,333.12703999999997
1623,502,8,5500.5,107.32838,12994.34,231.16969999999998
828,324,215,16804.140000000003,270.8525,52201.939999999995,608.1553200000001
363,88,78,0.0,39.39214,10150.1,160.21612
1476,185,442,24164.920000000002,459.58944,94845.98,788.4959799999999
1522,286,6,1530.74,96.66662000000001,3928.22,189.29486
755,317,61,11733.34,101.78016,13510.7,259.49127999999996
1513,22,417,4420.16,160.56898,19876.68,372.3838
1449,11,241,5949.719999999999,137.59106,14774.12,323.59488
1418,473,69,12886.96,270.5840400000001,28900.059999999998,456.8806600000001
1730,498,119,21191.32,436.41682000000003,88616.76,691.5759
1694,307,425,59109.9,1003.68486,166806.15999999997,1204.34322
2010,236,464,57991.780000000006,743.8758399999999,149607.74,1159.6570800000002
1514,45,110,3740.2399999999993,101.53907999999998,11379.38,252.87471999999997
1555,104,285,12724.56,231.29867999999996,44173.42,454.71377999999993
156,346,388,13924.48,111.43332000000001,22291.239999999998,290.89894000000004
1069,183,328,20748.220000000005,278.87832,35716.479999999996,543.67174
777,20,506,8260.460000000001,117.88032000000001,14459.179999999998,299.60412
1473,264,504,52895.380000000005,701.55588,135755.26,1036.2830600000002
1732,480,232,32734.26,660.99172,152389.84000000003,1119.5400000000002
2042,59,392,8758.560000000001,337.82036000000005,65692.02,639.8354
188,78,482,5578.6,56.79296000000001,16911.6,231.39317999999997
735,492,5,4937.719999999999,86.04004,13487.519999999999,168.52532000000002
949,199,244,9990.24,217.17733999999996,28013.840000000004,441.4125
1825,243,358,26092.5,570.8182800000001,120557.51999999999,951.0352999999999
544,384,204,17590.280000000002,199.2209,35950.82000000001,379.39494
1162,151,293,10599.36,232.15590000000003,45762.78,500.03216000000003
548,397,117,10294.16,146.78735999999998,17098.36,337.89492
1177,489,395,50855.6,802.5042599999999,165382.9,1555.7526999999998
1497,171,446,25924.020000000004,465.33792000000005,92724.5,773.3613200000001
1434,455,444,109994.8,1368.50956,252150.32,1931.9716200000003
1162,398,377,60080.44,861.1674399999999,138960.82,1229.94732
657,73,468,10336.859999999999,140.8976,27857.640000000003,343.4425
377,137,448,3530.2600000000007,134.55308,23810.96,323.42924
55,312,76,5683.5599999999995,31.632180000000005,6271.96,131.28542000000002
1155,232,472,25837.340000000004,473.52013999999997,85458.84,741.2110799999999
1434,119,298,10738.46,240.89033999999998,45074.24,515.2795199999999
1884,141,17,4750.98,96.80616,11196.240000000002,194.90022000000002
2001,462,333,94763.0,1025.2897600000001,238479.62000000002,1870.30456
1717,254,367,25137.94,594.3424,124061.01999999999,972.16016
1791,325,36,5979.0199999999995,164.97316,13959.9,295.59662000000003
1275,94,477,10993.619999999999,260.42855999999995,53442.2,521.66688
909,90,80,2937.0,55.49988,16413.52,200.66685999999999
1206,246,315,13155.5,392.3483,74999.8,661.0933600000001
1670,368,430,71738.16,967.44264,171193.36,1450.1641000000002
1619,59,212,6480.7,142.32049999999998,30601.72,345.93394
1878,438,238,49123.44,685.0055799999999,135320.68,1133.5355800000002
1498,363,281,37483.96,560.7843599999999,108404.31999999999,914.75546
1957,371,59,8073.7,233.9064,38386.1,383.9904
1854,437,423,97698.73999999999,1120.30172,229838.28000000003,1848.2194000000004
82,269,9,0.0,26.704880000000003,7103.24,111.32024000000001
211,295,45,7854.0,46.90115999999999,11177.96,151.19482
1076,41,127,2591.54,80.95274,10957.0,243.74168
1774,325,144,12734.34,332.43479999999994,52173.84000000001,553.2316599999999
1274,219,331,18623.04,372.58114,87002.98000000001,663.08956
1134,123,259,11184.060000000001,219.29361999999998,36689.36,443.8543000000001
1504,263,178,8876.94,295.4922,61352.44,530.7034600000001
857,348,41,10155.039999999999,114.01726000000001,16414.76,249.37318
1372,107,357,5860.6,260.93935999999997,55369.719999999994,535.68236
1597,472,92,6948.219999999999,302.14278,61636.88000000002,561.5809
589,204,138,4481.160000000001,95.35164,16024.179999999998,343.21786
1956,341,301,59269.87999999999,928.2605,157171.2,1198.8403400000002
531,481,479,43870.759999999995,489.83458,77837.9,885.79444
294,470,415,19389.6,311.67012,43891.49999999999,530.4062999999999
104,287,378,3780.5,80.49098000000001,14194.279999999999,238.71628
356,473,467,21408.620000000003,447.36826,54597.12000000001,634.87774
1496,23,454,4147.9400000000005,163.82494000000003,25602.940000000002,424.56566000000004
1424,448,40,4902.3,151.26849999999996,39139.32,330.12342
1285,93,91,6375.7,107.92482,11671.08,255.58071999999993
1636,127,110,6636.94,147.70192000000003,24271.24,318.92769999999996
461,220,52,1163.3200000000002,53.40204,22271.68,196.80146
1038,184,59,7366.92,97.17652000000001,19775.32,248.95096000000004
491,416,215,9964.580000000002,214.13579999999996,39013.64,435.17677999999995
175,118,332,3623.0199999999995,59.72886,17883.24,227.24989999999997
984,270,54,6259.780000000001,117.80600000000001,14722.819999999998,259.7632
2011,228,292,26394.019999999997,496.29511999999994,103916.98,834.2201399999998
1768,410,472,90190.2,1094.19544,194058.34,1541.7684400000003
1703,97,293,7420.639999999999,238.57956,39016.0,486.32816
1906,232,129,12382.759999999998,270.06884,41954.26,442.72043999999994
1005,48,146,9417.7,60.50759999999999,15522.38,248.71764000000002
212,389,298,14117.4,124.49288000000001,26907.859999999997,368.08166
299,479,264,11115.720000000001,182.46042,32750.140000000003,412.68726
515,314,453,15843.48,326.04285999999996,42775.81999999999,540.971
1486,326,311,21190.140000000003,575.2550600000001,140817.54,1207.7248799999998
1055,124,251,1370.84,177.49008,30728.739999999998,380.81474
1246,131,51,9124.72,144.28583999999998,22165.5,284.10751999999997
127,397,36,1801.7599999999998,41.16464,11142.52,128.64544
211,252,296,12048.3,86.22728,18845.2,263.43537999999995
1211,464,404,56089.94,770.84792,156366.78,1433.57988
1925,276,197,22270.42,570.18974,91397.54000000001,677.0667800000001
1238,399,346,29872.939999999995,643.9329999999999,135480.64,1150.3093800000001
703,335,179,11922.560000000001,216.79586000000003,35266.04,479.20661999999993
99,359,22,8546.119999999999,34.72788,3953.8199999999997,128.62162
778,495,10,7020.24,128.74560000000002,5570.0599999999995,158.29108
979,231,19,3787.8200000000006,73.54016,10678.7,169.39438
348,47,51,1479.48,31.171120000000002,9902.34,136.46684
708,80,231,4631.34,85.6306,18873.22,274.89073999999994
792,386,179,12943.039999999999,256.95766,39774.06000000001,533.95844
1045,121,397,21173.04,232.65262,28067.579999999998,471.72051999999996
1503,3,187,4840.08,104.24821999999999,4283.4400000000005,260.81062000000003
1229,500,320,60702.92,658.62886,132581.48000000004,1172.83912
472,286,201,5810.5,137.78489999999996,21816.38,371.88676
455,464,304,12737.98,290.17675999999994,51703.92,575.86698
880,445,410,60740.8,890.9859200000001,113043.01999999999,1065.40752
404,110,216,11118.119999999999,64.58843999999999,13569.34,237.1633
145,267,489,6246.32,99.31358,23896.4,277.13897999999995
392,215,112,2203.38,67.40118000000001,19591.06,253.39842
1350,150,233,10317.34,230.91482000000002,34764.340000000004,454.89436000000006
2002,361,300,65777.42,738.61688,137288.44,1130.3934400000003
1311,406,302,38801.2,593.1034400000001,165404.91999999998,1711.5320199999999
1689,151,312,12689.2,341.45374000000004,78257.94,639.59388
1903,336,221,32166.680000000004,527.15656,103766.8,787.08774
1992,77,282,10585.88,219.03761999999998,46829.740000000005,479.24334
1144,256,452,37875.86,663.89348,88318.93999999999,763.8095199999999
1014,331,54,12067.880000000001,133.51448,23530.200000000004,281.9423
857,209,401,7613.5,299.99186,51724.76,549.2927400000001
1634,190,163,16081.48,250.53848,35743.340000000004,438.79031999999995
1059,184,246,13044.4,222.72316,35592.08,447.35299999999995
160,73,497,2701.42,56.12986000000001,16182.799999999997,230.65007999999997
322,369,17,5571.26,48.36264,12673.34,142.14464
971,410,88,10332.039999999999,187.07512000000003,24094.16,388.72312
1224,348,475,47028.719999999994,772.5035799999999,140850.46,1108.7290399999997
926,222,222,10502.939999999999,226.38342000000003,44318.76,529.60694
1864,276,194,15166.0,393.45017999999993,65428.280000000006,627.0759200000001
1211,164,7,4400.62,214.4882,14266.319999999998,206.23205999999996
1507,133,501,17620.76,446.1329600000001,87225.16,747.48956
1479,456,297,64726.4,738.14958,152716.86000000002,1340.73906
1836,242,345,23742.54,555.1817,120654.01999999999,917.6665999999999
1907,314,429,62169.08,874.6915000000001,205385.09999999998,1937.25444
1260,400,270,31472.059999999998,526.13212,115109.62000000002,986.70178
956,384,441,39717.9,647.0593200000001,111722.22000000002,922.6987200000001
1292,13,56,6608.860000000001,164.02416,9732.64,288.97052
1118,498,370,40914.14,738.2940400000001,151459.56,1151.7374
524,194,443,15823.939999999999,236.29883999999998,44327.3,508.8396000000001
1556,6,98,6480.719999999999,109.2711,13821.98,258.63138
1533,245,49,16175.5,259.82826,23381.34,294.07890000000003
284,119,319,7232.640000000001,83.46088,17446.26,237.18176
260,34,69,1162.1,30.414179999999998,7966.32,143.41896
749,495,170,11315.920000000002,280.13172,45848.240000000005,568.29668
282,354,64,4892.5599999999995,54.08288,15950.9,203.40637999999996
855,369,201,11263.4,282.91940000000005,64628.7,620.60144
1968,54,132,2127.6800000000003,156.14515999999998,15655.48,321.53306000000003
1716,468,386,87765.85999999999,1015.6329800000001,206907.41999999998,1852.6326199999999
306,247,432,8217.779999999999,207.25359999999995,28630.27999999999,334.42876
1154,116,229,11531.94,170.43882000000002,24564.14,376.2135199999999
1830,426,168,19918.14,527.2090000000001,141427.86000000002,1021.60574
846,293,185,11931.12,219.77888,47156.86,543.9063199999999
832,414,198,14589.86,294.95792,59000.06,564.98256
666,277,230,7731.9,211.57319999999999,34251.600000000006,497.8665
1904,347,134,7840.540000000001,396.76102000000003,67834.28,620.8841
1834,96,448,13676.7,320.87680000000006,66896.78,636.03922
480,509,397,32220.380000000005,427.57732000000004,59528.68000000001,665.6532
344,493,312,10473.619999999999,244.97369999999995,48699.84,533.7309799999999
1950,473,189,37715.96000000001,629.57696,144588.2,1082.80544
286,292,161,7277.8,116.51996000000001,21679.64,279.95286
1168,303,124,6420.879999999999,213.6136,45400.3,406.62386000000004
802,254,448,37580.49999999999,377.83954,34926.64,632.8630999999999
910,177,145,10698.22,148.63752000000002,28564.359999999997,339.25596
972,503,228,28069.98,436.80603999999994,76695.31999999999,751.46818
1565,224,490,39855.9,610.5284800000001,115611.34,954.11554
652,104,37,4306.64,48.02272,14506.779999999999,188.37752
730,113,35,8334.94,90.20067999999999,13754.820000000002,291.13708
1656,421,223,33521.54,617.7871400000001,159550.48,1194.40604
1766,352,185,18211.6,442.5621,96257.08,876.5749599999999
1017,286,196,15570.019999999999,246.30616,38456.92,551.0284399999999
1433,20,344,1651.6,126.38774000000001,19805.879999999997,308.34622
1884,39,425,8132.3,201.59622,40742.08,515.22466
1127,51,177,3869.62,101.10616000000002,16453.8,271.1155
